row,col,intensity
4,91,-0.062013
4,92,-0.101014
4,93,-0.068888
4,95,-0.200000
5,91,-0.119266
5,92,-0.194275
5,93,-0.132489
6,91,-0.096031
6,92,-0.156427
6,93,-0.106678
7,92,-0.052732
19,20,-0.200000
27,2,-0.051959
27,3,-0.095999
27,4,-0.076441
28,2,-0.101929
28,3,-0.188325
28,4,-0.149956
28,5,-0.051460
28,38,-0.200000
29,2,-0.086175
29,3,-0.159219
29,4,-0.126780
30,3,-0.058013
35,84,-0.064176
35,85,-0.077974
36,83,-0.058730
36,84,-0.140150
36,85,-0.170284
36,86,-0.105343
37,83,-0.065304
37,84,-0.155836
37,85,-0.189342
37,86,-0.117133
38,50,-0.200000
38,84,-0.088225
38,85,-0.107195
38,86,-0.066314
39,68,-0.060439
39,69,-0.064626
40,67,-0.072887
40,68,-0.138860
40,69,-0.148479
40,70,-0.089107
41,67,-0.093987
41,68,-0.179059
41,69,-0.191462
41,70,-0.114903
42,67,-0.068021
42,68,-0.129590
42,69,-0.138567
42,70,-0.083159
43,68,-0.052639
43,69,-0.056286
49,73,-0.200000
50,40,-0.075206
50,41,-0.089948
50,42,-0.057466
50,46,-0.200000
51,39,-0.066199
51,40,-0.148218
51,41,-0.177272
51,42,-0.113257
51,78,-0.200000
52,39,-0.069693
52,40,-0.156041
52,41,-0.186628
52,42,-0.119234
53,40,-0.087753
53,41,-0.104954
53,42,-0.067054
53,44,-0.200000
54,48,-0.200000
55,19,-0.059069
55,20,-0.068176
55,21,-0.052121
55,24,-0.076411
55,25,-0.057931
56,18,-0.070598
56,19,-0.123010
56,20,-0.141974
56,21,-0.108541
56,22,-0.054966
56,23,-0.093118
56,24,-0.180762
56,25,-0.137044
57,18,-0.097385
57,19,-0.169684
57,20,-0.195842
57,21,-0.149724
57,22,-0.075822
57,23,-0.100526
57,24,-0.167007
57,25,-0.126616
58,18,-0.088983
58,19,-0.155044
58,20,-0.178946
58,21,-0.136807
58,22,-0.069280
58,23,-0.050676
58,24,-0.060262
59,18,-0.053857
59,19,-0.093840
59,20,-0.108307
59,21,-0.082802
62,57,-0.056712
62,58,-0.099328
62,59,-0.087768
63,57,-0.104569
63,58,-0.183147
63,59,-0.161831
63,60,-0.072142
64,57,-0.097274
64,58,-0.170370
64,59,-0.150540
64,60,-0.067108
65,58,-0.079955
65,59,-0.070649
79,12,-0.060683
79,13,-0.066707
80,11,-0.074316
80,12,-0.131763
80,13,-0.144843
80,14,-0.098718
81,11,-0.100046
81,12,-0.177384
81,13,-0.194993
81,14,-0.132897
81,15,-0.056157
82,11,-0.083505
82,12,-0.148056
82,13,-0.162753
82,14,-0.110924
83,12,-0.076617
83,13,-0.084223
83,14,-0.057402
85,56,-0.200000
92,38,-0.200000
93,64,-0.200000
94,93,-0.200000
