x,y,target_id
258.634,191.654,0
850.608,27.746,1
745.739,164.341,2
106.927,492.128,3
46.602,843.383,4
155.285,317.515,5
5.188,81.772,6
888.627,835.253,7
777.227,989.405,8
285.141,342.471,9
470.532,240.570,10
297.746,65.040,11
103.791,53.492,12
699.186,662.819,13
0.761,941.845,14
365.139,692.982,15
65.687,717.578,16
77.288,406.125,17
468.056,947.870,18
878.080,145.129,19
209.018,920.577,20
322.175,718.140,21
10.745,686.215,22
785.434,892.059,23
63.052,761.503,24
718.806,541.048,25
249.633,498.623,26
946.260,276.954,27
457.125,482.117,28
504.234,841.018,29
481.423,151.433,30
460.453,468.586,31
998.596,519.208,32
493.653,125.482,33
746.483,773.231,34
498.671,283.320,35
232.299,613.555,36
443.438,585.316,37
313.846,964.133,38
766.112,335.689,39
329.483,960.152,40
143.021,318.432,41
247.086,258.409,42
948.861,305.841,43
889.343,461.025,44
519.446,566.811,45
509.358,490.558,46
42.144,755.327,47
569.683,235.786,48
330.889,741.814,49
961.942,27.806,50
351.621,449.739,51
851.821,543.449,52
580.591,258.639,53
163.446,707.672,54
563.701,448.084,55
929.303,377.546,56
444.156,639.543,57
477.854,304.168,58
74.651,744.861,59
875.158,671.331,60
498.672,701.057,61
738.646,507.744,62
199.300,206.506,63
773.948,514.719,64
546.352,573.045,65
789.149,701.896,66
209.306,0.561,67
154.080,978.125,68
186.599,361.083,69
756.754,241.215,70
417.742,581.304,71
877.950,845.805,72
859.211,666.021,73
142.612,141.076,74
685.798,776.640,75
389.173,740.990,76
937.438,978.291,77
478.280,610.708,78
686.253,595.169,79
299.687,385.035,80
972.115,315.497,81
886.618,780.821,82
142.455,139.461,83
625.126,504.629,84
780.811,794.572,85
232.063,904.109,86
815.737,933.717,87
25.489,304.152,88
131.992,280.710,89
935.875,641.003,90
53.979,542.249,91
608.746,242.984,92
294.736,985.138,93
130.124,199.411,94
464.563,648.378,95
519.047,391.769,96
517.660,137.799,97
913.372,248.039,98
304.452,751.856,99
629.829,632.756,100
42.152,946.666,101
151.798,512.320,102
178.532,735.000,103
183.439,796.620,104
799.338,685.500,105
185.172,462.556,106
290.723,427.311,107
293.648,417.270,108
698.146,321.802,109
654.906,62.798,110
803.266,88.286,111
789.371,396.660,112
367.839,795.388,113
81.173,403.318,114
408.374,964.216,115
817.993,18.362,116
44.690,265.142,117
332.124,147.173,118
105.774,781.471,119
670.605,368.327,120
607.410,203.315,121
585.362,449.074,122
573.557,9.868,123
841.134,4.901,124
362.562,553.747,125
147.257,448.813,126
940.476,300.159,127
922.885,108.549,128
392.184,693.655,129
431.230,168.288,130
33.214,503.553,131
559.337,987.886,132
165.209,114.087,133
461.568,545.018,134
81.364,948.268,135
471.926,399.770,136
340.049,665.022,137
859.779,375.769,138
191.358,829.526,139
209.293,380.864,140
191.372,842.058,141
836.199,745.922,142
146.364,128.091,143
772.307,120.749,144
892.509,107.138,145
233.564,897.219,146
840.677,224.717,147
993.860,894.374,148
898.495,285.698,149
589.566,345.362,150
661.196,552.192,151
718.526,580.828,152
145.496,160.679,153
881.562,934.258,154
884.526,462.161,155
513.400,440.475,156
638.687,693.697,157
842.308,468.734,158
525.265,355.883,159
718.748,409.127,160
419.676,425.170,161
934.235,623.247,162
737.060,813.126,163
485.943,480.961,164
252.218,572.872,165
438.994,153.241,166
398.367,928.399,167
240.481,787.478,168
175.239,755.934,169
590.474,766.033,170
487.267,582.290,171
526.081,390.880,172
603.752,429.278,173
944.968,906.739,174
145.578,727.335,175
728.388,193.419,176
73.473,241.174,177
771.052,53.074,178
191.781,207.470,179
382.825,520.377,180
194.970,52.819,181
560.699,133.791,182
489.805,608.874,183
317.757,624.403,184
743.090,819.686,185
302.341,822.295,186
664.611,277.356,187
85.089,399.450,188
451.107,944.304,189
814.709,37.466,190
500.105,789.298,191
958.064,641.023,192
972.155,446.797,193
93.987,451.906,194
552.362,716.628,195
681.526,402.664,196
951.360,738.324,197
417.173,929.450,198
897.084,640.470,199
878.202,174.295,200
558.568,392.190,201
566.594,659.011,202
432.649,933.104,203
584.460,358.151,204
674.143,779.858,205
139.263,846.395,206
788.062,68.021,207
228.014,179.820,208
158.311,556.598,209
806.240,800.014,210
396.349,993.496,211
758.386,84.463,212
508.190,79.352,213
163.037,638.764,214
280.265,389.526,215
208.611,99.025,216
951.759,956.615,217
63.752,550.337,218
965.108,258.745,219
787.270,413.713,220
262.883,569.098,221
689.189,714.945,222
509.297,791.057,223
379.758,279.045,224
978.624,121.273,225
96.721,708.060,226
233.379,797.636,227
888.685,53.154,228
268.564,798.978,229
399.953,53.884,230
554.646,69.523,231
266.414,736.900,232
23.115,206.920,233
582.795,51.102,234
881.483,356.593,235
60.462,730.594,236
214.984,721.724,237
340.698,437.685,238
872.099,798.814,239
449.897,999.000,240
883.440,840.568,241
49.677,910.934,242
97.576,428.524,243
786.021,404.835,244
804.221,603.925,245
423.860,612.062,246
346.136,70.271,247
86.263,487.087,248
398.809,909.332,249
501.492,142.316,250
733.216,812.780,251
364.606,128.925,252
103.365,635.338,253
121.286,282.377,254
205.821,372.175,255
892.044,577.937,256
897.106,449.600,257
963.244,135.568,258
417.544,989.791,259
322.109,299.689,260
992.600,336.563,261
908.385,800.642,262
674.741,871.213,263
948.667,127.162,264
314.612,572.912,265
962.127,309.504,266
644.360,420.094,267
34.755,320.330,268
6.850,138.456,269
193.244,61.003,270
499.764,629.894,271
366.144,589.751,272
965.834,251.318,273
976.343,279.565,274
756.496,663.086,275
79.815,862.624,276
18.570,719.953,277
984.909,34.169,278
633.500,69.078,279
892.617,451.914,280
481.671,262.767,281
824.551,594.479,282
902.319,475.924,283
336.642,280.279,284
805.409,314.824,285
667.618,658.215,286
318.730,901.281,287
583.480,999.000,288
601.030,835.977,289
523.391,350.364,290
800.402,938.359,291
743.081,251.855,292
88.924,455.473,293
455.232,178.510,294
317.180,339.979,295
437.263,99.467,296
392.361,462.919,297
197.932,164.406,298
519.270,655.486,299
130.244,628.623,300
262.665,323.738,301
431.952,443.046,302
180.574,201.165,303
156.252,565.986,304
230.195,859.230,305
880.322,777.498,306
831.497,76.223,307
409.052,97.464,308
277.172,100.036,309
444.339,133.060,310
185.446,597.587,311
133.876,198.081,312
804.730,923.651,313
317.049,20.058,314
622.127,649.072,315
801.158,611.018,316
506.193,590.000,317
66.879,590.814,318
308.995,473.153,319
636.482,684.780,320
874.721,832.602,321
982.517,777.984,322
479.299,459.625,323
